Name,Postal,Median Household Income,Poverty Percent All Ages,State FIPS,County FIPS,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound
Alabama,AL,"40,538",18.9,01,000,"867,106","899,050",18.6,19.2,"305,292","296,223","314,361",27.4,26.6,28.2,"207,778","199,900","215,656",25.6,24.6,26.6,"40,081","40,995"
Autauga County,AL,"53,049",11.9,01,001,"5,075","7,843",9.3,14.5,"2,530","1,956","3,104",17.5,13.5,21.5,"1,791","1,397","2,185",16.4,12.8,20.0,"49,486","56,612"
Baldwin County,AL,"47,618",13.3,01,003,"20,333","27,779",11.2,15.4,"8,357","6,775","9,939",20.2,16.4,24.0,"5,734","4,655","6,813",18.9,15.3,22.5,"45,169","50,067"
Barbour County,AL,"33,074",25.3,01,005,"4,749","7,447",19.7,30.9,"2,145","1,641","2,649",36.2,27.7,44.7,"1,458","1,114","1,802",34.3,26.2,42.4,"30,589","35,559"
Bibb County,AL,"35,472",20.9,01,007,"3,344","5,288",16.2,25.6,"1,448","1,100","1,796",28.6,21.7,35.5,938,705,"1,171",25.3,19.0,31.6,"32,578","38,366"
Blount County,AL,"42,906",16.5,01,009,"7,771","10,945",13.7,19.3,"3,356","2,731","3,981",24.1,19.6,28.6,"2,202","1,755","2,649",21.3,17.0,25.6,"39,577","46,235"
Bullock County,AL,"25,969",31.1,01,011,"2,165","3,567",23.5,38.7,958,726,"1,190",40.3,30.5,50.1,655,499,811,39.5,30.1,48.9,"23,485","28,453"
Butler County,AL,"29,500",28.1,01,013,"4,830","6,752",23.4,32.8,"1,971","1,593","2,349",39.6,32.0,47.2,"1,405","1,150","1,660",38.9,31.8,46.0,"26,759","32,241"
Calhoun County,AL,"37,916",23.5,01,015,"24,332","29,972",21.1,25.9,"8,373","7,097","9,649",31.5,26.7,36.3,"5,992","5,118","6,866",30.8,26.3,35.3,"35,408","40,424"
Chambers County,AL,"30,061",28.5,01,017,"8,491","10,745",25.2,31.8,"3,290","2,855","3,725",43.5,37.7,49.3,"2,154","1,808","2,500",38.2,32.1,44.3,"27,603","32,519"
Cherokee County,AL,"34,410",21.2,01,019,"4,350","6,518",17.0,25.4,"1,816","1,421","2,211",33.1,25.9,40.3,"1,240",969,"1,511",30.2,23.6,36.8,"31,299","37,521"
Chilton County,AL,"38,553",20.4,01,021,"7,196","10,430",16.7,24.1,"3,447","2,768","4,126",32.0,25.7,38.3,"2,405","1,937","2,873",30.8,24.8,36.8,"35,289","41,817"
Choctaw County,AL,"32,003",20.7,01,023,"2,186","3,466",16.0,25.4,922,696,"1,148",29.9,22.6,37.2,614,464,764,26.2,19.8,32.6,"29,087","34,919"
Clarke County,AL,"33,739",24.9,01,025,"5,218","7,446",20.5,29.3,"2,110","1,649","2,571",33.5,26.2,40.8,"1,444","1,135","1,753",29.8,23.4,36.2,"30,531","36,947"
Clay County,AL,"33,035",20.6,01,027,"2,243","3,361",16.5,24.7,918,704,"1,132",29.8,22.9,36.7,644,498,790,28.1,21.7,34.5,"29,911","36,159"
Cleburne County,AL,"37,566",17.8,01,029,"2,052","3,190",13.9,21.7,932,722,"1,142",26.8,20.8,32.8,650,506,794,25.5,19.9,31.1,"34,351","40,781"
Coffee County,AL,"40,779",20.1,01,031,"8,739","11,139",17.7,22.5,"3,588","3,105","4,071",30.0,26.0,34.0,"2,639","2,316","2,962",30.5,26.8,34.2,"38,409","43,149"
Colbert County,AL,"37,455",19.2,01,033,"8,822","11,836",16.4,22.0,"3,812","3,218","4,406",32.2,27.2,37.2,"2,620","2,212","3,028",30.0,25.3,34.7,"34,320","40,590"
Conecuh County,AL,"27,855",25.7,01,035,"2,597","4,159",19.7,31.7,"1,229",927,"1,531",41.0,30.9,51.1,860,655,"1,065",38.6,29.4,47.8,"25,193","30,517"
Coosa County,AL,"33,721",18.6,01,037,"1,652","2,598",14.5,22.7,687,522,852,29.5,22.4,36.6,477,362,592,26.9,20.4,33.4,"30,616","36,826"
Covington County,AL,"33,484",20.9,01,039,"6,508","9,030",17.5,24.3,"2,532","2,009","3,055",30.2,24.0,36.4,"1,753","1,379","2,127",28.5,22.4,34.6,"31,004","35,964"
Crenshaw County,AL,"35,577",20.3,01,041,"2,154","3,412",15.7,24.9,983,747,"1,219",30.3,23.0,37.6,673,515,831,27.7,21.2,34.2,"32,806","38,348"
Cullman County,AL,"37,948",19.2,01,043,"12,965","17,519",16.3,22.1,"4,899","4,007","5,791",26.8,21.9,31.7,"3,292","2,640","3,944",24.7,19.8,29.6,"34,886","41,010"
Dale County,AL,"41,287",17.8,01,045,"7,299","10,291",14.8,20.8,"3,152","2,517","3,787",25.6,20.4,30.8,"2,112","1,677","2,547",24.4,19.4,29.4,"38,448","44,126"
Dallas County,AL,"26,195",35.6,01,047,"13,537","17,245",31.3,39.9,"6,441","5,707","7,175",56.5,50.1,62.9,"4,416","3,853","4,979",53.8,46.9,60.7,"23,874","28,516"
DeKalb County,AL,"34,822",20.8,01,049,"11,756","17,416",16.8,24.8,"5,698","4,513","6,883",31.6,25.0,38.2,"4,024","3,219","4,829",30.8,24.6,37.0,"32,105","37,539"
Elmore County,AL,"51,013",12.5,01,051,"7,393","11,159",10.0,15.0,"3,409","2,634","4,184",18.4,14.2,22.6,"2,352","1,833","2,871",17.2,13.4,21.0,"48,003","54,023"
Escambia County,AL,"31,365",26.1,01,053,"7,604","10,666",21.7,30.5,"3,029","2,466","3,592",35.6,29.0,42.2,"1,996","1,599","2,393",32.5,26.0,39.0,"28,897","33,833"
Etowah County,AL,"36,088",19.0,01,055,"16,333","22,581",15.9,22.1,"6,777","5,470","8,084",28.8,23.2,34.4,"4,566","3,646","5,486",26.3,21.0,31.6,"34,251","37,925"
Fayette County,AL,"32,643",27.3,01,057,"3,960","5,310",23.3,31.3,"1,360","1,110","1,610",36.0,29.4,42.6,957,789,"1,125",34.3,28.3,40.3,"29,639","35,647"
Franklin County,AL,"33,649",21.6,01,059,"5,574","8,000",17.7,25.5,"2,644","2,094","3,194",34.2,27.1,41.3,"1,815","1,413","2,217",33.0,25.7,40.3,"30,884","36,414"
Geneva County,AL,"34,418",20.3,01,061,"4,246","6,514",16.0,24.6,"1,867","1,404","2,330",31.6,23.8,39.4,"1,357","1,034","1,680",31.3,23.9,38.7,"31,554","37,282"
Greene County,AL,"27,117",31.0,01,063,"2,168","3,374",24.3,37.7,884,673,"1,095",40.9,31.1,50.7,617,475,759,38.3,29.5,47.1,"24,497","29,737"
Hale County,AL,"31,790",24.8,01,065,"2,980","4,632",19.4,30.2,"1,382","1,066","1,698",35.7,27.5,43.9,917,701,"1,133",31.4,24.0,38.8,"28,842","34,738"
Henry County,AL,"37,851",18.1,01,067,"2,374","3,808",13.9,22.3,"1,107",836,"1,378",28.8,21.8,35.8,761,576,946,26.0,19.7,32.3,"34,596","41,106"
Houston County,AL,"39,290",17.9,01,069,"16,103","19,925",16.0,19.8,"6,874","5,932","7,816",28.0,24.2,31.8,"4,778","4,095","5,461",26.8,23.0,30.6,"37,170","41,410"
Jackson County,AL,"36,158",19.9,01,071,"8,864","11,994",16.9,22.9,"3,346","2,743","3,949",28.6,23.5,33.7,"2,461","2,043","2,879",28.0,23.2,32.8,"33,232","39,084"
Jefferson County,AL,"41,740",18.6,01,073,"111,786","127,832",17.4,19.8,"42,130","38,406","45,854",27.7,25.3,30.1,"29,001","26,102","31,900",26.7,24.0,29.4,"40,644","42,836"
Lamar County,AL,"32,993",21.5,01,075,"2,459","3,677",17.2,25.8,998,776,"1,220",31.4,24.4,38.4,699,552,846,30.2,23.8,36.6,"30,580","35,406"
Lauderdale County,AL,"39,213",17.6,01,077,"13,530","18,454",14.9,20.3,"5,077","4,086","6,068",25.7,20.7,30.7,"3,477","2,778","4,176",23.8,19.0,28.6,"36,645","41,781"
Lawrence County,AL,"37,365",18.1,01,079,"5,037","7,295",14.8,21.4,"1,887","1,441","2,333",24.1,18.4,29.8,"1,328","1,016","1,640",23.3,17.8,28.8,"34,452","40,278"
Lee County,AL,"40,102",21.3,01,081,"26,086","31,842",19.2,23.4,"6,455","5,180","7,730",20.6,16.5,24.7,"4,280","3,397","5,163",18.9,15.0,22.8,"37,535","42,669"
Limestone County,AL,"49,667",14.1,01,083,"9,258","13,310",11.6,16.6,"3,840","2,974","4,706",19.5,15.1,23.9,"2,544","1,978","3,110",17.8,13.8,21.8,"46,291","53,043"
Lowndes County,AL,"28,754",30.7,01,085,"2,752","4,086",24.7,36.7,"1,242",973,"1,511",45.8,35.9,55.7,865,681,"1,049",44.1,34.7,53.5,"26,007","31,501"
Macon County,AL,"27,041",31.2,01,087,"4,904","7,416",24.8,37.6,"2,034","1,638","2,430",46.8,37.7,55.9,"1,345","1,067","1,623",42.4,33.7,51.1,"24,981","29,101"
Madison County,AL,"54,633",12.7,01,089,"37,384","45,968",11.4,14.0,"14,164","12,130","16,198",18.0,15.4,20.6,"9,527","7,992","11,062",16.5,13.8,19.2,"51,699","57,567"
Marengo County,AL,"33,085",23.6,01,091,"3,873","5,893",18.7,28.5,"1,672","1,269","2,075",32.5,24.7,40.3,"1,183",899,"1,467",30.9,23.5,38.3,"30,030","36,140"
Marion County,AL,"32,080",20.9,01,093,"4,875","7,605",16.3,25.5,"2,041","1,556","2,526",31.1,23.7,38.5,"1,452","1,117","1,787",29.9,23.0,36.8,"29,740","34,420"
Marshall County,AL,"38,859",19.4,01,095,"15,122","20,472",16.5,22.3,"7,063","5,839","8,287",30.9,25.5,36.3,"4,591","3,724","5,458",28.1,22.8,33.4,"36,552","41,166"
Mobile County,AL,"39,753",20.5,01,097,"75,667","91,247",18.6,22.4,"29,496","25,543","33,449",28.9,25.0,32.8,"19,698","16,686","22,710",26.7,22.6,30.8,"38,007","41,499"
Monroe County,AL,"31,744",28.4,01,099,"5,566","7,320",24.5,32.3,"2,867","2,529","3,205",49.9,44.0,55.8,"1,796","1,530","2,062",41.3,35.2,47.4,"28,917","34,571"
