State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
WA	San Juan	34	50,836	11.8	15769
WA	Pend Oreille	10	39,035	18.9	13001
WA	Snohomish	5993	63,391	10	713335
WA	Grant	375	42,514	21.7	89120
WA	Lincoln	48	48,746	11.7	10570
WA	Douglas	46	48,113	14.2	38431
WA	Kittitas	106	40,376	20.9	40915
WA	Jefferson	60	45,600	12	29872
WA	Whatcom	2160	49,999	14.4	201140
WA	Wahkiakum	1	44,740	13.8	3978
WA	Cowlitz	241	43,031	20.6	102410
WA	Columbia	0	41,244	14.6	4078
WA	Grays Harbor	61	40,281	17.9	72797
WA	Thurston	1457	60,672	10.7	252264
WA	Yakima	2779	40,503	23.9	243231
WA	Klickitat	139	42,510	17.4	20318
WA	Okanogan	71	35,682	22	41120
WA	Kitsap	2108	57,107	11.3	251133
WA	Clallam	572	42,111	15.5	71404
WA	King	85961	66,147	12.2	1931249
WA	Pierce	5386	56,446	12.3	795225
WA	Spokane	3367	46,881	14.7	471221
WA	Whitman	9	39,251	24.4	44776
WA	Adams	4	41,099	20.4	18728
WA	Island	106	54,714	9.7	78506
WA	Benton	879	59,409	12.8	175177
WA	Franklin	37	49,873	18.8	78163
WA	Ferry	16	35,721	21	7551
WA	Mason	110	46,062	16	60699
WA	Skagit	217	54,600	13	116901
WA	Skamania	4	47,804	13.8	11066
WA	Clark	6211	55,144	12.7	425363
WA	Walla Walla	142	43,119	15.7	58781
WA	Lewis	142	40,109	16.5	75455
WA	Stevens	69	41,147	17.4	43531
WA	Washington	0	55,584	13.5	6724540
WA	Pacific	17	37,832	17.9	20920
WA	Garfield	0	41,482	13.9	2266
WA	Chelan	953	45,561	14.2	72453
WA	Asotin	22	39,340	15.8	21623
DE	New Castle	429	59,877	11.2	538479
DE	Sussex	89	48,582	13.9	197145
DE	Delaware	0	56,172	11.9	897934
DE	Kent	119	51,490	12.1	162310
WI	Marinette	7	38,099	14.5	41749
WI	Langlade	9	37,762	13.5	19977
WI	Jackson	9	38,812	18.2	20449
WI	Richland	7	40,685	14.8	18021
WI	Grant	6	42,256	16	51208
WI	Portage	92	49,652	11.6	70019
WI	Rock	52	47,128	14	160331
WI	Trempealeau	6	43,425	13.6	28816
WI	Douglas	30	40,930	14.2	44159
WI	Ozaukee	37	73,471	5.7	86395
WI	Bayfield	6	40,155	14.8	15014
WI	St. Croix	35	64,990	6.8	84345
WI	Jefferson	12	50,963	10.9	83686
WI	Forest	2	38,735	16.9	9304
WI	Waushara	33	42,590	14.6	24496
WI	Fond du Lac	80	50,327	11.6	101633
WI	Lincoln	32	45,092	11.4	28743
WI	Racine	113	51,712	14.5	195408
WI	Waupaca	13	47,121	11.2	52410
WI	Dodge	17	50,996	9.2	88759
WI	Brown	260	51,330	10.3	248007
WI	Milwaukee	1443	40,582	21.9	947735
WI	Wisconsin	0	48,974	13.2	5686986
WI	Dunn	5	47,442	15.2	43857
WI	Barron	14	42,805	13.6	45870
WI	Winnebago	130	49,166	12	166994
WI	Price	0	41,116	13.6	14159
WI	Oconto	4	44,421	12.5	37660
WI	Walworth	69	52,823	12.8	102228
WI	Vernon	4	45,059	14.7	29773
WI	Sheboygan	76	50,397	9.9	115507
WI	Waukesha	279	71,176	6.1	389891
WI	Rusk	1	35,757	19.6	14755
WI	Pierce	35	57,111	10.8	41019
WI	Vilas	11	37,154	14.4	21430
WI	Adams	28	42,347	14.9	20875
WI	Kenosha	249	52,028	13.2	166426
WI	Oneida	10	44,038	11.4	35998
WI	Sawyer	25	37,858	18	16557
WI	Door	34	45,990	11.2	27785
WI	Lafayette	0	46,595	11.9	16836
WI	Iron	3	35,532	17.5	5916
WI	Burnett	4	38,774	15.3	15457
WI	Sauk	14	47,531	11.4	61976
WI	Iowa	2	51,738	9.2	23687
WI	Dane	965	58,958	12.3	488073
WI	Eau Claire	37	43,901	16.7	98736
WI	Buffalo	4	44,088	12	13587
WI	Menominee	1	31,509	29.8	4232
WI	Crawford	0	37,649	14.3	16644
WI	La Crosse	135	47,271	12.9	114638
WI	Green	5	51,019	10	36842
WI	Green Lake	18	43,571	13.1	19051
WI	Calumet	4	62,173	5.4	48971
WI	Clark	10	40,136	14.8	34690
WI	Pepin	0	43,912	12.3	7469
WI	Polk	16	46,871	12.5	44205
WI	Chippewa	15	46,479	12.3	62415
WI	Washington	85	61,955	6.3	131887
WI	Outagamie	73	55,556	9.1	176695
WI	Taylor	1	43,942	13.8	20689
WI	Shawano	11	45,139	13.6	41949
WI	Ashland	4	36,651	18.9	16157
WI	Wood	31	45,226	11.7	74749
